[⚠️] USA             | Score: 29% | Disonancia: True
[⚖️] China           | Score: 20% | Disonancia: False
[⚖️] Latam           | Score: 20% | Disonancia: False
[⚖️] Mexico          | Score: 21% | Disonancia: False
[⚖️] Argentina       | Score: 20% | Disonancia: False
[⚖️] Brasil          | Score: 20% | Disonancia: False
[⚠️] Sahel           | Score: 36% | Disonancia: True
[⚖️] Asia_Pacifico   | Score: 20% | Disonancia: False
[⚖️] Europa_Core     | Score: 20% | Disonancia: False
[⚠️] North_Korea     | Score: 48% | Disonancia: True
[⚖️] Australia       | Score: 20% | Disonancia: False
--- S.I.E.G. SCANNER V8.7 | CRITICAL ALERT ENGINE | 19:30:02 ---
[⚠️] Iran_M_Oriente  | Score: 75% | Disonancia: True
[⚠️] Espana          | Score: 31% | Disonancia: True
[🔥] Rusia_Ucrania   | Score: 80% | Disonancia: False
[⚠️] USA             | Score: 29% | Disonancia: True
[⚖️] China           | Score: 20% | Disonancia: False
[⚖️] Latam           | Score: 20% | Disonancia: False
[⚖️] Mexico          | Score: 21% | Disonancia: False
[⚖️] Argentina       | Score: 20% | Disonancia: False
[⚖️] Brasil          | Score: 20% | Disonancia: False
[⚠️] Sahel           | Score: 36% | Disonancia: True
[⚖️] Asia_Pacifico   | Score: 20% | Disonancia: False
[⚖️] Europa_Core     | Score: 20% | Disonancia: False
[⚠️] North_Korea     | Score: 48% | Disonancia: True
[⚖️] Australia       | Score: 20% | Disonancia: False
--- S.I.E.G. SCANNER V8.7 | CRITICAL ALERT ENGINE | 20:00:02 ---
[⚠️] Iran_M_Oriente  | Score: 75% | Disonancia: True
[⚠️] Espana          | Score: 30% | Disonancia: True
[🔥] Rusia_Ucrania   | Score: 80% | Disonancia: False
[⚠️] USA             | Score: 29% | Disonancia: True
[⚖️] China           | Score: 20% | Disonancia: False
[⚖️] Latam           | Score: 20% | Disonancia: False
[⚖️] Mexico          | Score: 21% | Disonancia: False
[⚖️] Argentina       | Score: 20% | Disonancia: False
[⚖️] Brasil          | Score: 20% | Disonancia: False
[⚠️] Sahel           | Score: 36% | Disonancia: True
[⚖️] Asia_Pacifico   | Score: 20% | Disonancia: False
[⚖️] Europa_Core     | Score: 20% | Disonancia: False
[⚠️] North_Korea     | Score: 48% | Disonancia: True
[⚖️] Australia       | Score: 20% | Disonancia: False
--- S.I.E.G. SCANNER V8.7 | CRITICAL ALERT ENGINE | 20:30:02 ---
[⚠️] Iran_M_Oriente  | Score: 75% | Disonancia: True
[⚠️] Espana          | Score: 30% | Disonancia: True
[🔥] Rusia_Ucrania   | Score: 80% | Disonancia: False
[⚠️] USA             | Score: 29% | Disonancia: True
[⚖️] China           | Score: 20% | Disonancia: False
[⚖️] Latam           | Score: 20% | Disonancia: False
[⚖️] Mexico          | Score: 21% | Disonancia: False
[⚖️] Argentina       | Score: 20% | Disonancia: False
[⚖️] Brasil          | Score: 20% | Disonancia: False
[⚠️] Sahel           | Score: 36% | Disonancia: True
[⚖️] Asia_Pacifico   | Score: 20% | Disonancia: False
[⚖️] Europa_Core     | Score: 20% | Disonancia: False
[⚠️] North_Korea     | Score: 48% | Disonancia: True
[⚖️] Australia       | Score: 20% | Disonancia: False
